sector,year,emphasis_innovation_technology,emphasis_customer_focus,emphasis_integrity_ethics,emphasis_people_talent,emphasis_diversity_inclusion,emphasis_sustainability_environment,emphasis_community_social_impact,emphasis_financial_growth_shareholder,emphasis_quality_excellence,emphasis_global_scale_reach
Consumer Discretionary,2016,0.0741,0.0298,0.1826,0.1141,0.1586,0.0357,0.0163,0.2951,0.0464,0.0472
Consumer Discretionary,2017,0.079,0.0344,0.1642,0.1067,0.1476,0.0478,0.0173,0.317,0.0394,0.0466
Consumer Discretionary,2018,0.0749,0.0284,0.1532,0.1118,0.159,0.0314,0.0181,0.3472,0.0364,0.0396
Consumer Discretionary,2019,0.0755,0.0328,0.1604,0.132,0.1582,0.0522,0.0185,0.274,0.042,0.0544
Consumer Discretionary,2020,0.0788,0.0363,0.1455,0.1466,0.1469,0.0544,0.0286,0.258,0.0446,0.0602
Consumer Discretionary,2021,0.0779,0.0377,0.1366,0.1437,0.1758,0.0528,0.0344,0.2293,0.0506,0.0612
Consumer Discretionary,2022,0.0727,0.03,0.1239,0.1723,0.1721,0.0721,0.0298,0.2256,0.0486,0.0528
Consumer Discretionary,2023,0.0813,0.0327,0.1403,0.1336,0.1795,0.0714,0.0253,0.2238,0.0509,0.0611
Consumer Discretionary,2024,0.0851,0.0321,0.1393,0.1233,0.1451,0.0815,0.0306,0.2454,0.0602,0.0574
Energy,2016,0.0554,0.0066,0.1531,0.2121,0.1446,0.0942,0.0187,0.1812,0.0822,0.0519
Energy,2017,0.0614,0.0085,0.1606,0.2083,0.1452,0.0855,0.0194,0.1711,0.0835,0.0565
Energy,2018,0.0592,0.0106,0.1615,0.2335,0.1509,0.062,0.0207,0.168,0.0796,0.054
Energy,2019,0.0601,0.0101,0.1559,0.2112,0.1374,0.0981,0.0203,0.1757,0.0792,0.052
Energy,2020,0.0647,0.0109,0.1493,0.1996,0.1291,0.1019,0.0275,0.1933,0.0757,0.048
Energy,2021,0.0618,0.0105,0.1334,0.214,0.1391,0.1359,0.0202,0.1644,0.0707,0.0502
Energy,2022,0.0803,0.0088,0.1199,0.1718,0.1183,0.2061,0.0179,0.1622,0.0614,0.0532
Energy,2023,0.079,0.0092,0.1234,0.1577,0.1325,0.1892,0.0204,0.1692,0.0661,0.0534
Energy,2024,0.0808,0.0094,0.1247,0.1657,0.1333,0.1745,0.0183,0.1653,0.0702,0.0578
Financials,2016,0.0602,0.057,0.2125,0.139,0.1617,0.031,0.025,0.1967,0.0482,0.0686
Financials,2017,0.0612,0.0578,0.2168,0.1358,0.1616,0.0348,0.0221,0.2056,0.045,0.0594
Financials,2018,0.0604,0.0555,0.1924,0.1609,0.1416,0.048,0.0254,0.2127,0.0434,0.0595
Financials,2019,0.0684,0.0556,0.1906,0.1701,0.1657,0.0286,0.0286,0.1917,0.0383,0.0625
Financials,2020,0.0617,0.0495,0.1738,0.1767,0.1674,0.0446,0.0305,0.1988,0.0392,0.0578
Financials,2021,0.058,0.056,0.1534,0.173,0.1847,0.0627,0.0412,0.1797,0.0366,0.0547
Financials,2022,0.0619,0.053,0.148,0.1691,0.1589,0.0986,0.0387,0.1767,0.0375,0.0575
Financials,2023,0.0609,0.0614,0.1409,0.1491,0.167,0.116,0.0277,0.187,0.0358,0.0542
Financials,2024,0.0597,0.0601,0.1355,0.169,0.1593,0.0985,0.0284,0.1897,0.0439,0.0558
Healthcare,2016,0.0883,0.0185,0.17,0.1455,0.1451,0.023,0.0227,0.284,0.0605,0.0425
Healthcare,2017,0.0863,0.0174,0.1652,0.1682,0.1396,0.018,0.0188,0.2839,0.0607,0.042
Healthcare,2018,0.0907,0.0135,0.1672,0.1632,0.1411,0.0262,0.0223,0.2703,0.0604,0.0452
Healthcare,2019,0.0898,0.0183,0.1662,0.1652,0.1288,0.0294,0.0238,0.273,0.0596,0.0459
Healthcare,2020,0.094,0.0164,0.1735,0.1544,0.1277,0.041,0.0232,0.2658,0.061,0.0429
Healthcare,2021,0.0917,0.0164,0.1527,0.1764,0.1456,0.0391,0.0317,0.249,0.0545,0.043
Healthcare,2022,0.1019,0.0174,0.1593,0.1501,0.1461,0.0507,0.0349,0.2282,0.0565,0.0551
Healthcare,2023,0.1206,0.0148,0.1445,0.1601,0.1585,0.0483,0.031,0.2209,0.0522,0.0491
Healthcare,2024,0.1225,0.0166,0.1517,0.1547,0.1541,0.055,0.0273,0.2104,0.0616,0.0461
Technology,2016,0.1054,0.0201,0.1877,0.1913,0.2003,0.0261,0.0199,0.1541,0.0432,0.052
Technology,2017,0.1017,0.0191,0.1858,0.1971,0.2249,0.017,0.0178,0.1531,0.0422,0.0414
Technology,2018,0.1068,0.0231,0.1996,0.1887,0.221,0.0253,0.0198,0.1203,0.0499,0.0454
Technology,2019,0.1031,0.0182,0.1828,0.183,0.2435,0.0295,0.0235,0.127,0.0448,0.0449
Technology,2020,0.104,0.0225,0.168,0.1978,0.2288,0.0395,0.0242,0.1221,0.0456,0.0474
Technology,2021,0.1102,0.0216,0.1612,0.1776,0.2363,0.0509,0.0337,0.1178,0.0409,0.0496
Technology,2022,0.1102,0.0242,0.1577,0.1786,0.2236,0.0694,0.0312,0.1061,0.0477,0.0514
Technology,2023,0.1165,0.0261,0.1726,0.1655,0.2176,0.0603,0.0259,0.1141,0.0497,0.0518
Technology,2024,0.1458,0.023,0.1763,0.156,0.1893,0.0745,0.0233,0.1058,0.0559,0.0501
