ticker,company_name,sector,year,match_type,stated_year_used,stated_lag_years,align_cosine_raw,align_cosine_centered,authenticity_score,top_say,top_do,largest_overclaim,overclaim_gap,largest_underclaim,underclaim_gap
AMZN,Amazon,Consumer Discretionary,2018,same_year,2018,0,0.4711,-0.3778,31.1,innovation_technology,financial_growth_shareholder,sustainability_environment,0.1383,financial_growth_shareholder,-0.3598
AMZN,Amazon,Consumer Discretionary,2019,same_year,2019,0,0.6372,0.4045,70.2,innovation_technology,financial_growth_shareholder,community_social_impact,0.1339,financial_growth_shareholder,-0.2591
AMZN,Amazon,Consumer Discretionary,2020,same_year,2020,0,0.8737,0.19,59.5,innovation_technology,financial_growth_shareholder,customer_focus,0.0981,integrity_ethics,-0.0809
AMZN,Amazon,Consumer Discretionary,2021,same_year,2021,0,0.6482,0.617,80.8,innovation_technology,diversity_inclusion,community_social_impact,0.1274,diversity_inclusion,-0.1979
AMZN,Amazon,Consumer Discretionary,2022,carried_forward,2021,1,0.6527,0.6385,81.9,innovation_technology,people_talent,customer_focus,0.1491,diversity_inclusion,-0.1769
AMZN,Amazon,Consumer Discretionary,2023,carried_forward,2021,2,0.6352,0.6065,80.3,innovation_technology,financial_growth_shareholder,community_social_impact,0.1525,financial_growth_shareholder,-0.1684
AMZN,Amazon,Consumer Discretionary,2024,same_year,2024,0,0.7102,0.1615,58.1,innovation_technology,innovation_technology,innovation_technology,0.1947,financial_growth_shareholder,-0.1506
F,Ford Motor,Consumer Discretionary,2016,same_year,2016,0,0.3682,0.2769,63.8,innovation_technology,financial_growth_shareholder,innovation_technology,0.4089,financial_growth_shareholder,-0.3041
F,Ford Motor,Consumer Discretionary,2017,same_year,2017,0,0.2961,0.0018,50.1,customer_focus,financial_growth_shareholder,customer_focus,0.6015,financial_growth_shareholder,-0.2648
F,Ford Motor,Consumer Discretionary,2018,same_year,2018,0,0.0588,-0.1187,44.1,customer_focus,financial_growth_shareholder,customer_focus,0.9772,financial_growth_shareholder,-0.25
F,Ford Motor,Consumer Discretionary,2019,same_year,2019,0,0.3172,0.0898,54.5,customer_focus,financial_growth_shareholder,customer_focus,0.552,financial_growth_shareholder,-0.2787
F,Ford Motor,Consumer Discretionary,2020,same_year,2020,0,0.2708,-0.1835,40.8,customer_focus,financial_growth_shareholder,customer_focus,0.3905,financial_growth_shareholder,-0.2054
F,Ford Motor,Consumer Discretionary,2021,same_year,2021,0,0.3748,0.2916,64.6,innovation_technology,financial_growth_shareholder,innovation_technology,0.2586,financial_growth_shareholder,-0.1896
F,Ford Motor,Consumer Discretionary,2022,carried_forward,2021,1,0.3372,0.1953,59.8,innovation_technology,financial_growth_shareholder,community_social_impact,0.2682,financial_growth_shareholder,-0.2181
F,Ford Motor,Consumer Discretionary,2023,carried_forward,2021,2,0.3022,-0.2069,39.7,innovation_technology,people_talent,community_social_impact,0.2742,people_talent,-0.2115
F,Ford Motor,Consumer Discretionary,2024,carried_forward,2021,3,0.3382,-0.2494,37.5,innovation_technology,financial_growth_shareholder,community_social_impact,0.2724,financial_growth_shareholder,-0.207
HD,Home Depot,Consumer Discretionary,2016,same_year,2016,0,0.1277,-0.3013,34.9,community_social_impact,financial_growth_shareholder,community_social_impact,0.5791,financial_growth_shareholder,-0.3438
HD,Home Depot,Consumer Discretionary,2017,same_year,2017,0,0.1274,-0.4679,26.6,people_talent,financial_growth_shareholder,sustainability_environment,0.3242,financial_growth_shareholder,-0.3371
HD,Home Depot,Consumer Discretionary,2018,same_year,2018,0,0.042,-0.1293,43.5,sustainability_environment,financial_growth_shareholder,sustainability_environment,0.5916,financial_growth_shareholder,-0.3309
HD,Home Depot,Consumer Discretionary,2019,same_year,2019,0,0.1628,-0.2961,35.2,sustainability_environment,financial_growth_shareholder,sustainability_environment,0.3653,financial_growth_shareholder,-0.3116
HD,Home Depot,Consumer Discretionary,2020,same_year,2020,0,0.4426,-0.0498,47.5,people_talent,financial_growth_shareholder,community_social_impact,0.3157,financial_growth_shareholder,-0.3258
HD,Home Depot,Consumer Discretionary,2021,same_year,2021,0,0.1911,-0.0952,45.2,community_social_impact,financial_growth_shareholder,community_social_impact,0.438,financial_growth_shareholder,-0.3299
HD,Home Depot,Consumer Discretionary,2022,same_year,2022,0,0.4604,0.1427,57.1,community_social_impact,financial_growth_shareholder,community_social_impact,0.262,financial_growth_shareholder,-0.294
HD,Home Depot,Consumer Discretionary,2023,same_year,2023,0,0.298,-0.143,42.8,sustainability_environment,financial_growth_shareholder,sustainability_environment,0.3655,financial_growth_shareholder,-0.3169
HD,Home Depot,Consumer Discretionary,2024,same_year,2024,0,0.6746,0.6803,84.0,community_social_impact,financial_growth_shareholder,community_social_impact,0.3554,integrity_ethics,-0.1416
LOW,Lowe's,Consumer Discretionary,2020,same_year,2020,0,0.5695,0.5143,75.7,community_social_impact,financial_growth_shareholder,community_social_impact,0.4774,people_talent,-0.2247
LOW,Lowe's,Consumer Discretionary,2021,same_year,2021,0,0.5636,0.5616,78.1,community_social_impact,financial_growth_shareholder,community_social_impact,0.468,people_talent,-0.1678
LOW,Lowe's,Consumer Discretionary,2022,same_year,2022,0,0.5096,0.5822,79.1,community_social_impact,financial_growth_shareholder,community_social_impact,0.4756,people_talent,-0.1905
LOW,Lowe's,Consumer Discretionary,2023,same_year,2023,0,0.5579,0.6605,83.0,community_social_impact,financial_growth_shareholder,community_social_impact,0.4807,diversity_inclusion,-0.1319
LOW,Lowe's,Consumer Discretionary,2024,same_year,2024,0,0.5435,0.6385,81.9,community_social_impact,financial_growth_shareholder,community_social_impact,0.4715,people_talent,-0.1427
MCD,McDonald's,Consumer Discretionary,2016,same_year,2016,0,0.105,0.0578,52.9,global_scale_reach,financial_growth_shareholder,global_scale_reach,0.5643,financial_growth_shareholder,-0.465
MCD,McDonald's,Consumer Discretionary,2017,same_year,2017,0,0.1528,0.1624,58.1,global_scale_reach,financial_growth_shareholder,global_scale_reach,0.5525,financial_growth_shareholder,-0.3998
MCD,McDonald's,Consumer Discretionary,2018,same_year,2018,0,0.1834,0.1777,58.9,global_scale_reach,financial_growth_shareholder,global_scale_reach,0.5493,financial_growth_shareholder,-0.3573
